A newer version of lightning is available (2.5.6). Would you like to upgrade? [Y/n]: Outputs will be saved to models/mdm_safetensors/mdm-113M-10e18
{'model_name': 'Diff_LLaMA_113M', 'num_of_devices': 1, 'global_batch_size': 256, 'learning_rate': 0.0002, 'micro_batch_size': 8, 'max_step': 28066, 'warmup_steps': 280, 'log_step_interval': 10, 'eval_iters': 400, 'save_step_interval': 5000, 'eval_step_interval': 999999999999, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 2e-05, 'batch_size': 256, 'gradient_accumulation_steps': 32, 'warmup_iters': 8960, 'max_iters': 898112, 'lr_decay_iters': 898112, 'log_iter_interval': 320}
Creating dataset from 252 files at data/slim_pajama/tokenized with prefix validation for split validation
Loading model with {'org': 'Lightning-AI', 'name': 'Diff_LLaMA_113M', 'block_size': 2048, 'vocab_size': 32000, 'padding_multiple': 64, 'padded_vocab_size': 32000, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': False, 'n_query_groups': 12, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 3072, 'condense_ratio': 1}
Time to instantiate model: 0.18 seconds.
Total parameters 162,418,176
Loading checkpoint from models/mdm_safetensors/mdm-113M-10e18/mdm-113M-10e18.safetensors
Validating ...
Val iter 0000:	NLL Bound 3.8466,	NLL Uniform 3.6569,	NLL Greedy 3.2875	NLL Block Greedy 3.4746	Counted Samples 1.0
Val iter 0001:	NLL Bound 3.7401,	NLL Uniform 3.6203,	NLL Greedy 3.2823	NLL Block Greedy 3.4455	Counted Samples 2.0
Val iter 0002:	NLL Bound 3.7645,	NLL Uniform 3.6838,	NLL Greedy 3.3715	NLL Block Greedy 3.5105	Counted Samples 3.0
Val iter 0003:	NLL Bound 3.6400,	NLL Uniform 3.6007,	NLL Greedy 3.2879	NLL Block Greedy 3.4233	Counted Samples 4.0
Val iter 0004:	NLL Bound 3.6366,	NLL Uniform 3.5567,	NLL Greedy 3.2661	NLL Block Greedy 3.3837	Counted Samples 5.0
Val iter 0005:	NLL Bound 3.5976,	NLL Uniform 3.5121,	NLL Greedy 3.2154	NLL Block Greedy 3.3335	Counted Samples 6.0
Val iter 0006:	NLL Bound 3.5357,	NLL Uniform 3.4969,	NLL Greedy 3.1920	NLL Block Greedy 3.3173	Counted Samples 7.0
Val iter 0007:	NLL Bound 3.4843,	NLL Uniform 3.4434,	NLL Greedy 3.1172	NLL Block Greedy 3.2556	Counted Samples 8.0
Val iter 0008:	NLL Bound 3.4470,	NLL Uniform 3.4152,	NLL Greedy 3.0822	NLL Block Greedy 3.2115	Counted Samples 9.0
Val iter 0009:	NLL Bound 3.4323,	NLL Uniform 3.4078,	NLL Greedy 3.0649	NLL Block Greedy 3.1990	Counted Samples 10.0
Val iter 0010:	NLL Bound 3.4546,	NLL Uniform 3.4169,	NLL Greedy 3.0708	NLL Block Greedy 3.2108	Counted Samples 11.0
